Эксперт_ID,Высокая_стоимость_внедрения,Нехватка_квалифицированных_кадров,Проблемы_с_законодательством,Низкий_уровень_доверия_пациентов,Кибербезопасность,Сопротивление_традиционной_среды
1,1,2,6,3,5,4
2,4,1,2,3,6,5
3,5,2,1,4,6,3
4,1,6,4,2,5,3
5,3,6,5,1,4,2
6,6,3,1,4,5,2
7,1,4,2,5,6,3
8,1,2,3,5,6,4
9,1,2,5,4,3,6
10,2,4,5,6,3,1
11,6,4,2,3,1,5
12,6,3,5,2,4,1
13,4,3,5,6,2,1
14,5,2,1,3,6,4
15,5,6,2,4,1,3
16,1,3,6,5,2,4
17,5,3,1,6,4,2
18,1,3,5,4,6,2
19,1,5,3,2,4,6
20,5,3,2,1,4,6
21,4,1,3,2,6,5
22,6,3,5,4,1,2
23,2,3,4,1,6,5
24,2,5,3,4,6,1
25,2,5,6,4,1,3
