Эксперт_ID,Аутентичность,Качество_ингред,Разнообразие_меню,Соотношение_цена_качество,Скорость_обслуживания,Атмосфера_интерьер,Удобство_заказа,Гигиена_чистота,Вегетарианские_опции,Технологическая_интеграция
1,4,3,5,3,5,2,4,2,4,5
2,4,4,4,4,4,4,4,4,4,4
3,4,4,2,5,5,2,5,2,3,5
4,4,4,4,4,4,4,4,4,4,4
5,5,5,4,4,5,4,5,5,3,4
6,4,4,5,5,1,5,2,5,1,1
7,5,4,3,4,5,4,5,5,3,4
8,4,5,2,5,5,3,5,5,3,5
9,4,3,5,5,5,3,4,3,2,5
10,4,3,3,4,4,2,4,3,3,4
11,5,5,5,5,5,3,5,4,1,5
12,3,3,2,2,5,5,5,3,3,5
13,2,3,1,2,2,2,4,1,2,4
14,5,5,4,5,5,5,5,3,5,5
15,4,3,4,4,5,4,5,4,2,5
16,5,4,5,5,5,5,5,3,3,5
17,3,2,1,3,4,4,4,2,1,1
18,4,3,4,4,5,2,4,2,3,5
19,5,3,4,4,5,3,5,2,3,5
20,1,2,2,2,3,4,3,1,2,2
21,3,3,4,4,5,2,4,1,3,5
22,4,3,4,4,5,2,3,2,2,5
23,5,3,3,4,4,3,4,2,3,5
24,4,3,3,3,3,4,4,3,4,4
25,1,1,1,1,1,1,2,3,3,2
