Критерий,Среднее,Медиана,Мода,Станд. отклонение,Минимум,Максимум
Аутентичность,3.84,4.0,4,1.1430952132988166,1,5
Качество_ингред,3.4,3.0,3,1.0,1,5
Разнообразие_меню,3.36,4.0,4,1.319090595827292,1,5
Соотношение_цена_качество,3.8,4.0,4,1.118033988749895,1,5
Скорость_обслуживания,4.2,5.0,5,1.2583057392117916,1,5
Атмосфера_интерьер,3.28,3.0,4,1.173314393786536,1,5
Удобство_заказа,4.16,4.0,4,0.8981462390204986,2,5
Гигиена_чистота,2.96,3.0,2,1.274100990241093,1,5
Вегетарианские_опции,2.8,3.0,3,0.9999999999999999,1,5
Технологическая_интеграция,4.16,5.0,5,1.2806248474865698,1,5
